name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Usa,2017-06-01T00:00:00,19.1,19.1,16.6,85.36,0,0,,0,0,,5.5,189,1016,28,15.5,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T01:00:00,18.6,18.6,17.1,90.63,0,0,,0,0,,12.2,186,1015.8,48.2,15.7,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T02:00:00,17.6,17.6,16.5,93.29,0,0,,0,0,,7.1,230,1015.5,44.6,15.6,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T03:00:00,17.6,17.6,16.5,93.26,0,0,,0,0,,5.4,233,1015.5,24.4,15.9,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T04:00:00,17,17,16.5,96.68,0,0,,0,0,,10.6,203,1014.8,37.4,15.8,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T05:00:00,17.1,17.1,16.1,93.88,0.022,100,rain,0,0,,1.1,346,1016,49.3,16,,,,,"Rain, Partially cloudy",rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T06:00:00,17,17,16,93.82,0,0,,0,0,,7.3,226,1016,67,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,KADW,KDAA,74594013705"
Usa,2017-06-01T07:00:00,17.7,17.7,16.5,92.86,0.011,100,rain,0,0,,10.3,195,1016.4,66.6,16,,,,,"Rain, Partially cloudy",rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T08:00:00,19.9,19.9,15,73.63,0,0,,0,0,,5.5,296,1016.8,61.2,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T09:00:00,22.7,22.7,14.9,61.41,0,0,,0,0,,0.9,351,1017.1,45.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T10:00:00,23.8,23.8,15.5,59.57,0,0,,0,0,,6.5,46,1016.9,32.7,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T11:00:00,26.5,26.5,11.8,39.78,0,0,,0,0,,1,349,1016.5,32.7,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T12:00:00,27.7,27,9.5,32.05,0,0,,0,0,27.7,20,257,1016.4,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T13:00:00,27.8,26.8,7.5,27.77,0,0,,0,0,42.5,23,283,1016,46.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T14:00:00,28.2,27.3,9.3,30.64,0,0,,0,0,39.9,18.8,282,1015.3,44.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T15:00:00,27.8,27.1,10,32.87,0,0,,0,0,31.8,24.8,289,1014.8,45.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T16:00:00,28.7,27.7,9.9,31.11,0,0,,0,0,25.9,18,291,1014.6,47.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T17:00:00,27.8,27.1,10.6,34.31,0,0,,0,0,,14.1,303,1014.4,25.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T18:00:00,28.3,27.4,10.1,32.17,0,0,,0,0,25.9,14.7,319,1014.1,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T19:00:00,27.1,26.6,8.9,31.75,0,0,,0,0,,23,346,1014.2,32.7,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T20:00:00,26.1,26.1,8.3,32.54,0,0,,0,0,,13,319,1014.4,32.7,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T21:00:00,24.7,24.7,8,34.46,0,0,,0,0,,10.8,329,1014.7,32.7,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T22:00:00,23,23,8.9,40.6,0,0,,0,0,,12.5,349,1015.7,45.6,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-01T23:00:00,22.4,22.4,10.1,45.5,0,0,,0,0,,7.3,360,1016,83.9,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T00:00:00,21.7,21.7,10.1,47.75,0,0,,0,0,,4.8,360,1016,47.6,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T01:00:00,20.6,20.6,14,65.85,0,0,,0,0,,0,0,1016.1,70.9,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T02:00:00,20.1,20.1,13.6,66.37,0,0,,0,0,,0,0,1016.1,88.9,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T03:00:00,18.9,18.9,12.2,64.88,0,0,,0,0,,4.8,238,1016.1,81.1,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T04:00:00,17.9,17.9,12.1,68.89,0,0,,0,0,,0,0,1015.8,36.3,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T05:00:00,17.3,17.3,12.1,71.4,0,0,,0,0,,0,0,1016,24.4,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T06:00:00,16.3,16.3,12.1,76.25,0,0,,0,0,,0,0,1016.4,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T07:00:00,17.4,17.4,12.8,74.29,0,0,,0,0,,4.8,209,1016.6,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T08:00:00,20,20,12.9,63.64,0.018,100,rain,0,0,,4.8,209,1016.8,0,16,,,,,Rain,rain,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T09:00:00,21.8,21.8,15.2,65.8,0,0,,0,0,,8,253,1017.1,0,16,,,,,Clear,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T10:00:00,25.5,25.5,11.1,40.47,0,0,,0,0,,11.4,259,1017,0,16,,,,,Clear,clear-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T11:00:00,26.6,26.6,12,40.33,0,0,,0,0,,19.1,302,1016.8,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T12:00:00,27.1,26.8,11,36.73,0,0,,0,0,25.9,18.8,337,1016.6,44.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T13:00:00,27.1,26.7,9.9,34.06,0,0,,0,0,35.6,22.2,317,1016.3,44.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T14:00:00,26.7,26.3,8.8,32.29,0,0,,0,0,37.3,17.9,299,1015.9,44.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T15:00:00,27.2,26.5,8.2,30.33,0,0,,0,0,39.6,32.6,346,1015.7,44.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T16:00:00,27.8,26.8,7.2,27.3,0,0,,0,0,43.5,35.7,338,1015.5,27.3,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T17:00:00,28.2,27.1,6.7,25.71,0,0,,0,0,35.5,23.9,316,1015.1,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T18:00:00,27.1,26.4,6.1,26.24,0,0,,0,0,36.9,22.8,320,1015.2,25.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T19:00:00,26.6,26.6,5.5,26.08,0,0,,0,0,44.8,32.7,327,1015.4,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T20:00:00,25.5,25.5,4.4,25.58,0,0,,0,0,42.8,21.9,320,1015.7,24.4,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T21:00:00,23.6,23.6,5.1,30.11,0,0,,0,0,,11.6,329,1016.3,24.4,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T22:00:00,21.4,21.4,6.3,37.42,0,0,,0,0,,10.6,330,1016.8,24.4,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-02T23:00:00,21,21,9.2,46.83,0,0,,0,0,,0.4,22,1017,0,16,,,,,Clear,clear-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T00:00:00,19.4,19.4,8.5,49.27,0,0,,0,0,,4.8,238,1017.1,12.5,16,,,,,Clear,clear-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T01:00:00,19.3,19.3,8.4,49.33,0,0,,0,0,,4.8,228,1017.3,46.6,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T02:00:00,17.8,17.8,9.3,57.56,0,0,,0,0,,6.7,238,1017,24.4,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T03:00:00,16.3,16.3,10.5,68.75,0,0,,0,0,,10.6,211,1016.7,24.4,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T04:00:00,16.3,16.3,10.6,68.7,0,0,,0,0,,8.7,202,1016.4,28,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T05:00:00,16.2,16.2,11,71.24,0,0,,0,0,,8.7,202,1016.1,24.4,16,,,,,Partially cloudy,partly-cloudy-night,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T06:00:00,16.4,16.4,10.1,66.28,0,0,,0,0,,9.2,195,1016.4,52.9,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T07:00:00,17.6,17.6,10.7,63.98,0,0,,0,0,,14,205,1016.5,89.9,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T08:00:00,19.2,19.2,11.2,59.91,0,0,,0,0,,12.4,187,1016.4,79.3,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T09:00:00,22.8,22.8,12.2,51.14,0,0,,0,0,,14.2,196,1016.4,84.5,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T10:00:00,24.9,24.9,10.1,39.31,0,0,,0,0,,16.5,240,1016.3,56.6,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T11:00:00,26.6,26.6,11.3,38.38,0,0,,0,0,31.7,19.8,260,1016.1,56.1,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
Usa,2017-06-03T12:00:00,27.7,27,9.5,31.92,0,0,,0,0,37.1,23.5,309,1016,85.2,16,,,,,Partially cloudy,partly-cloudy-day,"KDCA,72405013743,72403793728,KADW,KDAA,74594013705"
