height (cm) 	 weight (kg) 
198.0	100.0
216.0	118.0
206.0	95.0
203.0	101.0
206.0	109.0
201.0	98.0
198.0	86.0
213.0	113.0
193.0	86.0
183.0	73.0
183.0	77.0
213.0	122.0
196.0	88.0
190.0	80.0
211.0	120.0
211.0	107.0
213.0	122.0
185.0	86.0
201.0	98.0
190.0	91.0
203.0	100.0
211.0	120.0
190.0	95.0
211.0	111.0
201.0	98.0
213.0	109.0
198.0	100.0
190.0	86.0
190.0	93.0
203.0	107.0
185.0	91.0
193.0	93.0
206.0	109.0
211.0	102.0
208.0	118.0
206.0	93.0
208.0	107.0
201.0	109.0
193.0	84.0
201.0	107.0
206.0	112.0
211.0	102.0
203.0	104.0
208.0	107.0
203.0	113.0
203.0	99.0
178.0	73.0
196.0	89.0
201.0	104.0
203.0	116.0
206.0	104.0
198.0	93.0
218.0	113.0
196.0	93.0
213.0	127.0
185.0	84.0
211.0	129.0
211.0	111.0
188.0	80.0
196.0	83.0
208.0	122.0
196.0	98.0
208.0	111.0
208.0	110.0
203.0	95.0
203.0	113.0
188.0	82.0
198.0	82.0
203.0	116.0
201.0	86.0
198.0	95.0
203.0	116.0
193.0	94.0
201.0	102.0
206.0	109.0
196.0	95.0
193.0	86.0
193.0	86.0
211.0	103.0
208.0	111.0
190.0	86.0
211.0	118.0
203.0	100.0
208.0	99.0
190.0	84.0
193.0	86.0
203.0	113.0
190.0	86.0
203.0	103.0
203.0	102.0
213.0	120.0
198.0	102.0
231.0	137.0
203.0	100.0
206.0	109.0
201.0	107.0
206.0	112.0
208.0	113.0
185.0	82.0
216.0	120.0
211.0	113.0
193.0	83.0
198.0	95.0
218.0	127.0
213.0	116.0
206.0	102.0
188.0	82.0
203.0	102.0
188.0	87.0
211.0	113.0
206.0	104.0
203.0	104.0
180.0	82.0
188.0	79.0
206.0	109.0
206.0	109.0
213.0	113.0
213.0	111.0
206.0	102.0
188.0	83.0
211.0	118.0
193.0	103.0
203.0	95.0
196.0	91.0
183.0	75.0
196.0	100.0
211.0	104.0
198.0	88.0
185.0	84.0
208.0	113.0
211.0	104.0
203.0	100.0
206.0	115.0
198.0	91.0
221.0	132.0
206.0	118.0
206.0	100.0
203.0	104.0
206.0	102.0
196.0	95.0
206.0	102.0
211.0	109.0
206.0	109.0
203.0	120.0
206.0	107.0
188.0	90.0
198.0	91.0
183.0	75.0
208.0	118.0
193.0	88.0
213.0	111.0
208.0	104.0
211.0	125.0
201.0	98.0
188.0	83.0
203.0	113.0
206.0	116.0
193.0	94.0
206.0	116.0
206.0	102.0
206.0	104.0
211.0	102.0
211.0	107.0
201.0	91.0
213.0	125.0
196.0	94.0
208.0	102.0
211.0	104.0
201.0	101.0
208.0	110.0
201.0	111.0
185.0	86.0
198.0	82.0
196.0	97.0
211.0	104.0
201.0	98.0
178.0	78.0
201.0	109.0
198.0	100.0
180.0	74.0
208.0	107.0
208.0	106.0
185.0	82.0
180.0	77.0
201.0	93.0
201.0	100.0
216.0	107.0
206.0	109.0
185.0	90.0
196.0	84.0
211.0	118.0
193.0	83.0
203.0	98.0
183.0	77.0
201.0	102.0
203.0	102.0
193.0	93.0
201.0	98.0
206.0	102.0
193.0	79.0
211.0	100.0
201.0	102.0
198.0	114.0
206.0	98.0
206.0	111.0
211.0	111.0
208.0	111.0
211.0	109.0
198.0	100.0
190.0	88.0
211.0	109.0
208.0	104.0
201.0	100.0
201.0	98.0
203.0	100.0
201.0	98.0
196.0	91.0
208.0	111.0
188.0	86.0
201.0	109.0
193.0	92.0
198.0	99.0
188.0	88.0
190.0	84.0
201.0	100.0
201.0	98.0
206.0	116.0
206.0	109.0
196.0	91.0
198.0	91.0
180.0	75.0
201.0	103.0
208.0	104.0
190.0	94.0
201.0	103.0
208.0	118.0
188.0	84.0
198.0	94.0
183.0	82.0
