No.,Title,insights,References,Citations,Authors,Open Access,Publication Type,PDF link,DOI,Date,Journal name,Institutions
1,Approximate MVDR and MMSE beamformers exploiting scale-invariant reconstruction of signals on microphones,The paper does not directly compare MVDR and MMSE beamformers. The paper focuses on proposing approximate variants of MVDR and MMSE beamformers that do not require auxiliary methods for estimating source/noise covariance.,,,"Zbynek Koldovsky, Francesco Nesta",FALSE,Proceedings Article,,10.1109/IWAENC.2016.7602928,01/09/2016,,Technical University of Liberec
2,Performance Comparison of DS/SS Code Acquisition using MMSE and MVDR Beamforming in Jamming,The paper compares the performance of MMSE and MVDR beamformers for code acquisition in a DS/SS system.,,,"H. Puska, Harri Saarnisaari, Jari Iinatti, P. Lilja",FALSE,Proceedings Article,,10.1109/MILCOM.2007.4455173,01/10/2007,,University of Oulu
3,A MVDR Multi-Code Receiver Based on Channel Estimation for HSDPA Mode,,,,"Cui Li, Wu Qihui, Wang Jinlong",FALSE,Proceedings Article,,10.1109/WICOM.2006.106,01/09/2006,,
4,Spatial power spectrum estimation based on a MVDR-MMSE-MUSIC hybrid beamformer,,,,"E.L. Santos, Michael D. Zoltowski",FALSE,Proceedings Article,,10.1109/ICASSP.2005.1416132,18/03/2005,,Purdue University
5,Recursive short-data-record estimation of AV and MMSE/MVDR linear filters for DS-CDMA antenna array systems,,,,"I.N. Psaromiligkos, Stella N. Batalama",FALSE,Journal Article,,10.1109/TCOMM.2003.822186,03/03/2004,IEEE Transactions on Communications,"State University of New York System, University at Buffalo"
6,Data record-based criteria for the selection of an auxiliary vector estimator of the MMSE/MVDR filter,,,,"Haoli Qian, Stella N. Batalama",FALSE,Journal Article,,10.1109/TCOMM.2003.818089,20/10/2003,IEEE Transactions on Communications,State University of New York System
7,Iterative Receiver vs. MMSE Hard IC Receiver for Non-Orthogonal Multiple Access Transmission,,,,Hanqing Xu,FALSE,Proceedings Article,,10.1109/iwcmc55113.2022.9825263,30/05/2022,,
8,MoCA vs. MMSE of Fibromyalgia Patients: The Possible Role of Dual-Task Tests in Detecting Cognitive Impairment,,,,"Alvaro Murillo-Garcia, Juan Luis Leon-Llamas, Santos Villafaina, Paloma Rohlfs-Domínguez, Narcis Gusi",TRUE,Journal Article,,10.3390/JCM10010125,01/01/2021,Journal of Clinical Medicine,University of Extremadura
9,On the Relation Between PDA and MMSE-ISDIC,,,,"Feifei Cao, Jiandong Li, Jiawei Yang",FALSE,Journal Article,,10.1109/LSP.2007.896157,13/08/2007,IEEE Signal Processing Letters,Xidian University
10,The Cognitive Assessment scale for Stroke Patients (CASP) vs. MMSE and MoCA in non-aphasic hemispheric stroke patients,,,,"Charles Benaim, J.-L. Barnay, G. Wauquiez, Huei-Yune Bonnin-Koang, Claire Anquetil, D. Perennou, Céline Piscicelli, B. Lucas-Pineau, Liviu Muja, E. le Stunff, X. De Boissezon, C. Terracol, Marc Rousseaux, Yannick Béjot, D. Antoine, Christine Binquet, Hervé Devilliers",TRUE,Journal Article,,10.1016/J.REHAB.2014.12.001,01/04/2015,Annals of Physical and Rehabilitation Medicine,French Institute of Health and Medical Research
