# source: https://en.wikipedia.org/wiki/Epsom_Derby#Winners
Year	Winner	Jockey	Trainer	Owner	Dist.	Time
1780	Diomed	Sam Arnull	R. Teasdale	Sir Charles Bunbury		
1781	Young Eclipse	Charles Hindley		Dennis O'Kelly		
1782	Assassin	Sam Arnull	Frank Neale	3rd Earl of Egremont		
1783	Saltram	Charles Hindley	Frank Neale	John Parker		
1784	Serjeant	John Arnull		Dennis O'Kelly		
1785	Aimwell	Charles Hindley	John Pratt	1st Earl of Clermont		
1786	Noble	J. White	Frank Neale	Tommy Panton		
1787	Sir Peter Teazle	Sam Arnull	Saunders	12th Earl of Derby		
1788	Sir Thomas	William South	Frank Neale	Prince of Wales		
1789	Skyscraper	Sam Chifney	Matt Stephenson	5th Duke of Bedford		
1790	Rhadamanthus	John Arnull	John Pratt	1st Earl Grosvenor		
1791	Eager	Matt Stephenson	Matt Stephenson	5th Duke of Bedford		
1792	John Bull	Frank Buckle	John Pratt	1st Earl Grosvenor		
1793	Waxy	Bill Clift	Robert Robson	Sir Ferdinand Poole		
1794	Daedalus	Frank Buckle	John Pratt	1st Earl Grosvenor		
1795	Spread Eagle	Anthony Wheatley	Richard Prince	Sir Frank Standish		
1796	Didelot	John Arnull	Richard Prince	Sir Frank Standish		
1797	Colt by Fidget	John Singleton, Jr.	Matt Stephenson	5th Duke of Bedford		
1798	Sir Harry	Sam Arnull	Frank Neale	Joseph Cookson		
1799	Archduke	John Arnull	Richard Prince	Sir Frank Standish		
1800	Champion	Bill Clift	Tom Perren	Christopher Wilson		
1801	Eleanor	John Saunders	J. Frost	Sir Charles Bunbury		
1802	Tyrant	Frank Buckle	Robert Robson	3rd Duke of Grafton		
1803	Ditto	Bill Clift	John Lonsdale	Sir Hedworth Williamson		
1804	Hannibal	Bill Arnull	Frank Neale	3rd Earl of Egremont		
1805	Cardinal Beaufort	Dennis Fitzpatrick	Dixon Boyce	3rd Earl of Egremont		
1806	Paris	John Shepherd	Richard Prince	3rd Baron Foley		
1807	Election	John Arnull	Dixon Boyce	3rd Earl of Egremont		
1808	Pan	Frank Collinson	John Lonsdale	Sir Hedworth Williamson		
1809	Pope	Tom Goodisson	Robert Robson	3rd Duke of Grafton	nk	
1810	Whalebone	Bill Clift	Robert Robson	3rd Duke of Grafton		
1811	Phantom	Frank Buckle	James Edwards	Sir John Shelley	hd	
1812	Octavius	Bill Arnull	Dixon Boyce	Robert Ladbroke	hd	
1813	Smolensko	Tom Goodisson	Crouch	Sir Charles Bunbury	1	
1814	Blucher	Bill Arnull	Dixon Boyce	2nd Baron Stawell		
1815	Whisker	Tom Goodisson	Robert Robson	4th Duke of Grafton	shd	
1816	Prince Leopold	Will Wheatley	William Butler	Duke of York	½	
1817	Azor	Jem Robinson	Robert Robson	John Payne		
1818	Sam	Sam Chifney, Jr.	William Chifney	Thomas Thornhill	¾	
1819	Tiresias	Bill Clift	Richard Prince	4th Duke of Portland	nk	
1820	Sailor	Sam Chifney, Jr.	William Chifney	Thomas Thornhill	2	
1821	Gustavus	Sam Day	Crouch	John Hunter	½	
1822	Moses	Tom Goodisson	William Butler	Duke of York	hd	
1823	Emilius	Frank Buckle	Robert Robson	John Udny	1	
1824	Cedric	Jem Robinson	James Edwards	Sir John Shelley		
1825	Middleton	Jem Robinson	James Edwards	5th Earl of Jersey		
1826	Lap-dog	George Dockeray	R. Stephenson	3rd Earl of Egremont		
1827	Mameluke	Jem Robinson	James Edwards	5th Earl of Jersey		
1828	Cadland	Jem Robinson	Dixon Boyce	5th Duke of Rutland	dh	
1829	Frederick	John Forth	John Forth	William Gratwicke	hd	
1830	Priam	Sam Day	William Chifney	William Chifney	2	
1831	Spaniel	Will Wheatley	J. Rogers	Viscount Lowther		
1832	St. Giles	Bill Scott	J. Webb	Robert Ridsdale	2	
1833	Dangerous	Jem Chapple	Isaac Sadler	Isaac Sadler	1	
1834	Plenipotentiary	Patrick Conolly	George Payne	Stanlake Batson	2	
1835	Mündig	Bill Scott	John Scott	John Bowes	nk	
1836	Bay Middleton	Jem Robinson	James Edwards	5th Earl of Jersey	2	
1837	Phosphorus	George Edwards	John Doe	Lord Berners	nk	
1838	Amato	Jem Chapple	Ralph Sherwood	Sir Gilbert Heathcote		
1839	Bloomsbury	Sim Templeman	William Ridsdale	William Ridsdale	1	
1840	Little Wonder	William Macdonald	John Forth	David Robertson	1	
1841	Coronation	Patrick Conolly	Ben Painter	Abraham Rawlinson	3	
1842	Attila	Bill Scott	John Scott	George Anson	2	
1843	Cotherstone	Bill Scott	John Scott	John Bowes	2	
1844	Orlando	Nat Flatman	W. Cooper	Jonathan Peel		
1845	The Merry Monarch	Foster Bell	John Forth	William Gratwicke	1	
1846	Pyrrhus The First	Sam Day	John Day	John Gully	nk	2:55
1847	Cossack	Sim Templeman	John Day	T. H. Pedley	1	2:52
1848	Surplice	Sim Templeman	John Kent, Jr.	3rd Viscount Clifden	nk	2:48
1849	The Flying Dutchman	Charles Marlow	John Fobert	13th Earl of Eglinton	snk	3:00
1850	Voltigeur	Job Marson	Robert Hill	2nd Earl of Zetland	1	2:50
1851	Teddington	Job Marson	Alec Taylor, Sr.	Sir Joseph Hawley	2	2:51
1852	Daniel O'Rourke	Frank Butler	John Scott	John Bowes	½	3:02
1853	West Australian	Frank Butler	John Scott	John Bowes	nk	2:55
1854	Andover	Alfred Day	John Day	John Gully	1	2:52
1855	Wild Dayrell	Robert Sherwood	John Rickaby	Francis Popham	1	2:54
1856	Ellington	Tom Aldcroft	Tom Dawson	Octavius Vernon Harcourt	1	3:04
1857	Blink Bonny	Jack Charlton	William I'Anson	William I'Anson	nk	2:45
1858	Beadsman	John Wells	George Manning	Sir Joseph Hawley	1	2:54
1859	Musjid	John Wells	George Manning	Sir Joseph Hawley	½'	2:59
1860	Thormanby	Harry Custance	Mathew Dawson	James Merry	1½	2:55
1861	Kettledrum	Ralph Bullock	G. Oates	Charles Towneley	1	2:45
1862	Caractacus	John Parsons	Robert Smith	Charles Snewing	nk	2:45
1863	Macaroni	Tom Chaloner	James Godding	Richard Naylor	hd	2:50
1864	Blair Athol	Jim Snowden	William I'Anson	William I'Anson	2	2:43
1865	Gladiateur	Harry Grimshaw	Tom Jennings, Sr.	Frédéric de Lagrange	2	2:46
1866	Lord Lyon	Harry Custance	James Dover	Richard Sutton	hd	2:50
1867	Hermit	John Daley	G. Bloss	Henry Chaplin	nk	2:42
1868	Blue Gown	John Wells	John Porter	Sir Joseph Hawley	½	2:43
1869	Pretender	John Osborne Jr.	Tom Dawson	John Johnstone	shd	2:52
1870	Kingcraft	Tom French	Mathew Dawson	6th Viscount Falmouth	4	2:45
1871	Favonius	Tom French	Joseph Hayhoe	Mayer A. de Rothschild	1½	2:50
1872	Cremorne	Charlie Maidment	William Gilbert	Henry Savile	hd	2:45
1873	Doncaster	Fred Webb	Robert Peck	James Merry	1½	2:50
