#source: https://www.kaggle.com/nathanlauga/nba-games
SEASON|DATE|TEAM_home|TEAM_away|PTS_home|PTS_away|REB_home|REB_away|AST_home|AST_away|FG3_PCT_home|FG3_PCT_away
2019|2020-10-11|Miami Heat|Los Angeles Lakers|93|106|41|46|25|23|35.7|31.4
2019|2020-10-09|Los Angeles Lakers|Miami Heat|108|111|41|35|21|26|36.8|42.4
2019|2020-10-06|Miami Heat|Los Angeles Lakers|96|102|39|42|18|25|34.4|35.9
2019|2020-10-04|Miami Heat|Los Angeles Lakers|115|104|37|43|25|23|35.3|33.3
2019|2020-10-02|Los Angeles Lakers|Miami Heat|124|114|44|37|32|29|34.0|40.7
2019|2020-09-30|Los Angeles Lakers|Miami Heat|116|98|54|36|26|23|39.5|31.4
2019|2020-09-27|Miami Heat|Boston Celtics|125|113|40|42|30|26|48.1|32.6
2019|2020-09-26|Los Angeles Lakers|Denver Nuggets|117|107|43|36|24|23|37.5|26.7
2019|2020-09-25|Boston Celtics|Miami Heat|121|108|50|38|29|27|31.6|19.4
2019|2020-09-24|Denver Nuggets|Los Angeles Lakers|108|114|33|41|22|23|35.7|33.3
2019|2020-09-23|Miami Heat|Boston Celtics|112|109|40|46|20|28|27.0|35.0
2019|2020-09-22|Denver Nuggets|Los Angeles Lakers|114|106|44|25|26|27|37.9|23.1
2019|2020-09-20|Los Angeles Lakers|Denver Nuggets|105|103|44|31|23|22|36.1|33.3
2019|2020-09-19|Miami Heat|Boston Celtics|106|117|42|50|21|27|27.3|34.6
2019|2020-09-18|Los Angeles Lakers|Denver Nuggets|126|114|34|37|33|23|42.3|34.6
2019|2020-09-17|Boston Celtics|Miami Heat|101|106|41|38|19|27|35.7|32.6
2019|2020-09-15|Boston Celtics|Miami Heat|114|117|37|41|24|32|35.7|44.4
2019|2020-09-15|Los Angeles Clippers|Denver Nuggets|89|104|37|53|21|22|25.7|35.1
2019|2020-09-13|Denver Nuggets|Los Angeles Clippers|111|98|41|37|26|20|48.0|37.0
2019|2020-09-12|Los Angeles Lakers|Houston Rockets|119|96|50|31|25|18|51.4|26.5
2019|2020-09-11|Los Angeles Clippers|Denver Nuggets|105|111|41|44|22|20|38.1|44.4
2019|2020-09-11|Toronto Raptors|Boston Celtics|87|92|44|44|17|19|28.6|23.7
2019|2020-09-10|Houston Rockets|Los Angeles Lakers|100|110|26|52|24|30|42.4|30.0
2019|2020-09-09|Boston Celtics|Toronto Raptors|122|125|58|46|32|22|41.3|40.4
2019|2020-09-09|Denver Nuggets|Los Angeles Clippers|85|96|38|41|19|19|33.3|28.6
