# SOURCE: https://data.gov.sg/dataset/resident-population-by-ethnicity-gender-and-age-group
# year;sex;ethnicity;age_group;population
1957;Male;Malays;0  -  4 Years;21743
1957;Male;Malays;5  -  9 Years;14451
1957;Male;Malays;10 - 14 Years;8393
1957;Male;Malays;15 - 19 Years;8528
1957;Male;Malays;20 - 24 Years;10556
1957;Male;Malays;25 - 29 Years;9552
1957;Male;Malays;30 - 34 Years;8226
1957;Male;Malays;35 - 39 Years;6917
1957;Male;Malays;40 - 44 Years;4531
1957;Male;Malays;45 - 49 Years;3449
1957;Male;Malays;50 - 54 Years;2620
1957;Male;Malays;55 - 59 Years;1866
1957;Male;Malays;60 - 64 Years;1088
1957;Male;Malays;65 - 69 Years;586
1957;Male;Malays;70 - 74 Years;386
1957;Male;Malays;75 - 79 Years;152
1957;Male;Malays;80 - 84 Years;107
1957;Male;Malays;85 - 89 Years;na
1957;Male;Malays;90 Years & Over;na
1957;Female;Malays;0  -  4 Years;21418
1957;Female;Malays;5  -  9 Years;14684
1957;Female;Malays;10 - 14 Years;8221
1957;Female;Malays;15 - 19 Years;9047
1957;Female;Malays;20 - 24 Years;9917
1957;Female;Malays;25 - 29 Years;8145
1957;Female;Malays;30 - 34 Years;5989
1957;Female;Malays;35 - 39 Years;4735
1957;Female;Malays;40 - 44 Years;3297
1957;Female;Malays;45 - 49 Years;2779
1957;Female;Malays;50 - 54 Years;1871
1957;Female;Malays;55 - 59 Years;1302
1957;Female;Malays;60 - 64 Years;931
1957;Female;Malays;65 - 69 Years;558
1957;Female;Malays;70 - 74 Years;406
1957;Female;Malays;75 - 79 Years;196
1957;Female;Malays;80 - 84 Years;163
1957;Female;Malays;85 - 89 Years;na
1957;Female;Malays;90 Years & Over;na
1957;Male;Chinese;0  -  4 Years;102848
1957;Male;Chinese;5  -  9 Years;88108
1957;Male;Chinese;10 - 14 Years;57342
1957;Male;Chinese;15 - 19 Years;55187
1957;Male;Chinese;20 - 24 Years;42965
1957;Male;Chinese;25 - 29 Years;37851
1957;Male;Chinese;30 - 34 Years;29491
1957;Male;Chinese;35 - 39 Years;27647
1957;Male;Chinese;40 - 44 Years;29498
1957;Male;Chinese;45 - 49 Years;27357
1957;Male;Chinese;50 - 54 Years;22085
1957;Male;Chinese;55 - 59 Years;15776
1957;Male;Chinese;60 - 64 Years;9679
1957;Male;Chinese;65 - 69 Years;5544
1957;Male;Chinese;70 - 74 Years;2714
1957;Male;Chinese;75 - 79 Years;1120
1957;Male;Chinese;80 - 84 Years;345
1957;Male;Chinese;85 - 89 Years;na
1957;Male;Chinese;90 Years & Over;na
1957;Female;Chinese;0  -  4 Years;94910
1957;Female;Chinese;5  -  9 Years;82066
1957;Female;Chinese;10 - 14 Years;52361
1957;Female;Chinese;15 - 19 Years;51969
1957;Female;Chinese;20 - 24 Years;42948
1957;Female;Chinese;25 - 29 Years;38760
1957;Female;Chinese;30 - 34 Years;29853
1957;Female;Chinese;35 - 39 Years;28270
1957;Female;Chinese;40 - 44 Years;27779
1957;Female;Chinese;45 - 49 Years;24531
1957;Female;Chinese;50 - 54 Years;19532
1957;Female;Chinese;55 - 59 Years;14733
1957;Female;Chinese;60 - 64 Years;10782
1957;Female;Chinese;65 - 69 Years;7720
1957;Female;Chinese;70 - 74 Years;4700
1957;Female;Chinese;75 - 79 Years;2520
1957;Female;Chinese;80 - 84 Years;1053
1957;Female;Chinese;85 - 89 Years;na
1957;Female;Chinese;90 Years & Over;na
1957;Male;Indians;0  -  4 Years;9601
1957;Male;Indians;5  -  9 Years;7224
1957;Male;Indians;10 - 14 Years;4396
1957;Male;Indians;15 - 19 Years;5356
1957;Male;Indians;20 - 24 Years;6343
1957;Male;Indians;25 - 29 Years;10633
1957;Male;Indians;30 - 34 Years;10562
1957;Male;Indians;35 - 39 Years;10323
1957;Male;Indians;40 - 44 Years;7770
1957;Male;Indians;45 - 49 Years;5980
1957;Male;Indians;50 - 54 Years;3711
1957;Male;Indians;55 - 59 Years;2367
1957;Male;Indians;60 - 64 Years;957
1957;Male;Indians;65 - 69 Years;416
1957;Male;Indians;70 - 74 Years;202
1957;Male;Indians;75 - 79 Years;91
1957;Male;Indians;80 - 84 Years;36
1957;Male;Indians;85 - 89 Years;na
1957;Male;Indians;90 Years & Over;na
1957;Female;Indians;0  -  4 Years;9242
1957;Female;Indians;5  -  9 Years;7189
1957;Female;Indians;10 - 14 Years;3347
1957;Female;Indians;15 - 19 Years;3276
1957;Female;Indians;20 - 24 Years;3780
1957;Female;Indians;25 - 29 Years;3518
1957;Female;Indians;30 - 34 Years;2374
1957;Female;Indians;35 - 39 Years;1933
1957;Female;Indians;40 - 44 Years;1171
1957;Female;Indians;45 - 49 Years;837
1957;Female;Indians;50 - 54 Years;531
1957;Female;Indians;55 - 59 Years;394
1957;Female;Indians;60 - 64 Years;231
1957;Female;Indians;65 - 69 Years;135
1957;Female;Indians;70 - 74 Years;78
1957;Female;Indians;75 - 79 Years;20
1957;Female;Indians;80 - 84 Years;21
1957;Female;Indians;85 - 89 Years;na
1957;Female;Indians;90 Years & Over;na
1957;Male;Other;0  -  4 Years;2520
1957;Male;Other;5  -  9 Years;2247
1957;Male;Other;10 - 14 Years;1088
1957;Male;Other;15 - 19 Years;1066
1957;Male;Other;20 - 24 Years;1390
1957;Male;Other;25 - 29 Years;1740
1957;Male;Other;30 - 34 Years;1869
1957;Male;Other;35 - 39 Years;1619
1957;Male;Other;40 - 44 Years;1242
1957;Male;Other;45 - 49 Years;987
1957;Male;Other;50 - 54 Years;837
1957;Male;Other;55 - 59 Years;541
1957;Male;Other;60 - 64 Years;291
1957;Male;Other;65 - 69 Years;216
1957;Male;Other;70 - 74 Years;123
1957;Male;Other;75 - 79 Years;52
1957;Male;Other;80 - 84 Years;20
1957;Male;Other;85 - 89 Years;na
1957;Male;Other;90 Years & Over;na
1957;Female;Other;0  -  4 Years;2445
1957;Female;Other;5  -  9 Years;2128
1957;Female;Other;10 - 14 Years;1132
1957;Female;Other;15 - 19 Years;1250
1957;Female;Other;20 - 24 Years;1367
1957;Female;Other;25 - 29 Years;1527
1957;Female;Other;30 - 34 Years;1561
1957;Female;Other;35 - 39 Years;1265
1957;Female;Other;40 - 44 Years;929
1957;Female;Other;45 - 49 Years;796
1957;Female;Other;50 - 54 Years;607
1957;Female;Other;55 - 59 Years;477
1957;Female;Other;60 - 64 Years;317
1957;Female;Other;65 - 69 Years;224
1957;Female;Other;70 - 74 Years;165
1957;Female;Other;75 - 79 Years;74
1957;Female;Other;80 - 84 Years;41
1957;Female;Other;85 - 89 Years;na
1957;Female;Other;90 Years & Over;na
1958;Male;Malays;0  -  4 Years;22700
